text,topic
I'm so tired.,Daily Life
I'm confused.,Daily Life
I'm twenty three years old.,Daily Life
I'm hungry.,Daily Life
I'm nervous.,Daily Life
I'm excited.,Daily Life
I'm leaving work.,Daily Life
I'm thirsty.,Daily Life
I'm from Seattle.,Daily Life
I'm extremely tired.,Daily Life
I'm very happy.,Daily Life
I'm terribly hungry.,Daily Life
I am super excited.,Daily Life
I'm very nervous.,Daily Life
I'm in the shower.,Daily Life
I'm in the lobby.,Daily Life
I'm in a car.,Daily Life
I'm in a house.,Daily Life
I'm in a school.,Daily Life
I'm at the grocery.,Daily Life
I'm at the mall.,Daily Life
I'm at the doctor's office.,Daily Life
I'm at the park.,Daily Life
I'm at the airport.,Daily Life
I'm at the mall.,Daily Life
I'm in the mall.,Daily Life
I'm at the park.,Daily Life
I'm in the park.,Daily Life
I'm at the grocery.,Daily Life
I'm in the grocery.,Daily Life
I'm on the phone.,Daily Life
I'm on my computer.,Daily Life
I'm on a bus.,Daily Life
I'm good at drawing.,Daily Life
I'm good at video games.,Daily Life
I'm good at swimming.,Daily Life
I'm good at driving.,Daily Life
I'm good at reading.,Daily Life
I'm good at sports.,Daily Life
I'm good at writing.,Daily Life
I'm good at math.,Daily Life
I'm good at dancing.,Daily Life
I'm good at chess.,Daily Life
I'm eating lunch.,Daily Life
I'm brushing my teeth.,Daily Life
I'm scared.,Daily Life
I'm driving to work.,Daily Life
I'm crying.,Daily Life
I'm typing an email.,Daily Life
I'm cooking dinner.,Daily Life
I'm combing my hair.,Daily Life
I'm hanging a picture.,Daily Life
I am texting.,Daily Life
I am dancing.,Daily Life
I am interested in the job.,Daily Life
I am exercising.,Daily Life
I am learning.,Daily Life
I'm getting better.,Daily Life
I'm getting ready for bed.,Daily Life
I'm getting a tooth ache.,Daily Life
I'm getting a cold.,Daily Life
I'm getting married.,Daily Life
I'm getting tired.,Daily Life
I'm getting good at reading.,Daily Life
I'm getting a new car.,Daily Life
I'm getting a job.,Daily Life
I'm getting a puppy.,Daily Life
I'm trying to get a job.,Daily Life
I'm trying to call my family.,Daily Life
I'm trying to enjoy my dinner.,Daily Life
I'm trying to educate myself.,Daily Life
I'm trying to explain myself.,Daily Life
I'm trying new food.,Daily Life
I'm trying to eat healthy.,Daily Life
I'm trying to understand.,Daily Life
Learning new things can be trying on you.,Daily Life
That marathon was very trying on me.,Daily Life
I'm gonna have some coffee.,Daily Life
I'm gonna go to work.,Daily Life
I'm gonna eat some cake.,Daily Life
I'm gonna send out my resume.,Daily Life
I'm gonna run a marathon.,Daily Life
I'm gonna ask her out for dinner.,Daily Life
I'm gonna stop smoking.,Daily Life
I'm gonna help my friends.,Daily Life
I'm gonna take swim lessons.,Daily Life
I'm gonna read a book.,Daily Life
I have a cat.,Daily Life
I have a nice car.,Daily Life
I have a house.,Daily Life
I have a computer.,Daily Life
I have a headache.,Daily Life
I cannot have that behavior in my house.,Daily Life
I cannot have you over tonight.,Daily Life
I won't have anything to do with that.,Daily Life
I won't have it any other way.,Daily Life
I have done it.,Daily Life
I have heard that before.,Daily Life
I have driven a car.,Daily Life
I have forgotten the words.,Daily Life
I have read that book.,Daily Life
I have eaten at that restaurant before.,Daily Life
I have flown in an airplane.,Daily Life
I have forgiven you.,Daily Life
I have seen you before.,Daily Life
I have written a letter.,Daily Life
I used to develop websites.,Daily Life
I used to jog every day.,Daily Life
I used to paint.,Daily Life
I used to smoke.,Daily Life
I used to work from home.,Daily Life
I used to live in California.,Daily Life
I used to go to the beach every day.,Daily Life
I used to sing in a choir.,Daily Life
I used to like vegetables.,Daily Life
I used to start work at 6 o'clock.,Daily Life
I have to switch schools.,Daily Life
I have to use the telephone.,Daily Life
I have to go to the bathroom.,Daily Life
I have to leave.,Daily Life
I have to unpack my bags.,Daily Life
I don't have to switch schools.,Daily Life
I don't have to use the telephone.,Daily Life
I don't have to go to the bathroom.,Daily Life
I don't have to leave.,Daily Life
I don't have to unpack my bags.,Daily Life
I wanna talk.,Daily Life
I wanna search for a job.,Daily Life
I wanna order some food.,Daily Life
I wanna marry her.,Daily Life
I wanna listen to that song.,Daily Life
I don't wanna talk.,Daily Life
I don't wanna search for a job.,Daily Life
I don't wanna marry her.,Daily Life
I don't wanna listen to that song.,Daily Life
I don't wanna order some food.,Daily Life
I gotta manage my money.,Daily Life
I gotta obey the laws.,Daily Life
I gotta move to a bigger house.,Daily Life
I gotta impress my boss.,Daily Life
I gotta brush my teeth.,Daily Life
I have got to be on time to work.,Daily Life
I've gotta try harder at school.,Daily Life
I've gotta tell my wife I'll be late.,Daily Life
I've gotta learn more about the laws.,Daily Life
I've gotta clean my house today.,Daily Life
I would like to answer that question.,Daily Life
I would like to compete in a cooking contest.,Daily Life
I would like to explain myself.,Daily Life
I would like to invite you over.,Daily Life
I would like to practice.,Daily Life
I would like to become a doctor.,Daily Life
I would like to see you more often.,Daily Life
I would like to thank you.,Daily Life
I would like to learn about animals.,Daily Life
I would like to meet the President.,Daily Life
I plan to find a new apartment.,Daily Life
I plan to relax on vacation.,Daily Life
I plan to surprise my parents.,Daily Life
I plan to wash my car.,Daily Life
I plan to adopt a child.,Daily Life
I plan to impress my boss.,Daily Life
I plan to watch a movie.,Daily Life
I plan to save more money.,Daily Life
I plan to read a book.,Daily Life
I plan to learn new things.,Daily Life
I've decided to accept the job.,Daily Life
I've decided to complete my degree.,Daily Life
I've decided to change my bad habits.,Daily Life
I've decided to extend my membership at the gym.,Daily Life
I've decided to form a chess club.,Daily Life
I've decided to hand over my responsibilities.,Daily Life
I've decided to help you move.,Daily Life
I've decided to interview for the job.,Daily Life
I've decided to increase my work load.,Daily Life
I've decided to manage a store.,Daily Life
I was about to go out.,Daily Life
I was about to go to dinner.,Daily Life
I was about to go to bed.,Daily Life
I was about to go to work.,Daily Life
I was about to say the same thing.,Daily Life
I was about to call you.,Daily Life
I was about to send you an email.,Daily Life
I was about to mow my grass.,Daily Life
I was about to order us some drinks.,Daily Life
I was about to watch television.,Daily Life
I didn't mean to hurt your feelings.,Daily Life
I didn't mean to call you so late.,Daily Life
I didn't mean to lie about what happened.,Daily Life
I didn't mean to embarrass you.,Daily Life
I didn't mean to stay out so late.,Daily Life
I did not mean to say those things.,Daily Life
I did not mean to leave you out.,Daily Life
I did not mean to make you confused.,Daily Life
I did not mean to think you were involved.,Daily Life
I did not mean to cause trouble.,Daily Life
I don't have time to explain.,Daily Life
I don't have time to eat.,Daily Life
I don't have time to exercise.,Daily Life
I don't have time to watch my favorite TV show.,Daily Life
I don't have time to talk.,Daily Life
I don't eat meat.,Daily Life
I don't like the rain.,Daily Life
I don't understand Spanish.,Daily Life
I do not understand what you are saying.,Daily Life
I do not like scary movies.,Daily Life
I do not like sports.,Daily Life
I promise not to tell.,Daily Life
I promise not to leave without you.,Daily Life
I promise not to be so late.,Daily Life
I promise not to hurt your feelings.,Daily Life
I promise not to wake you up.,Daily Life
I promise I am telling the truth.,Daily Life
I promise to practice my math.,Daily Life
I promise to call you.,Daily Life
I promise I will tell you.,Daily Life
I promise I will come to your party.,Daily Life
I'd rather talk about this later.,Daily Life
I'd like to eat at home than go get fast food.,Daily Life
I'd rather ski than snowboard.,Daily Life
I'd rather stay late than come in early tomorrow.,Daily Life
I'd rather handle the problem myself.,Daily Life
I had rather go home than stay out too late.,Daily Life
I had rather listen to my parents or get in trouble.,Daily Life
I would rather exercise than sit on the couch all day.,Daily Life
I would rather complete my task early.,Daily Life
I would rather know the answer.,Daily Life
I feel like going for a bike ride.,Daily Life
I feel like going to the beach.,Daily Life
I feel like having a snack.,Daily Life
I feel like talking.,Daily Life
I feel like dancing.,Daily Life
I feel like having friends over to my house.,Daily Life
I feel like watching TV.,Daily Life
I don't feel like leaving yet.,Daily Life
I don't feel like explaining.,Daily Life
I don't feel like going to bed.,Daily Life
I do not feel comfortable talking about it.,Daily Life
I do not feel like we are going in the right direction.,Daily Life
I can't help thinking about it.,Daily Life
I can't help shopping so much.,Daily Life
I can't help working all the time.,Daily Life
I can't help smiling when I see her.,Daily Life
I can't help eating so much.,Daily Life
I can't help loving you.,Daily Life
I can not help biting my nails when I am nervous.,Daily Life
I can not help smoking when I have been drinking.,Daily Life
I cannot help feeling so sad.,Daily Life
I cannot help remembering the things you did.,Daily Life
I was busy thinking.,Daily Life
I was busy working.,Daily Life
I was busy cooking dinner.,Daily Life
I was busy talking on the phone.,Daily Life
I was busy cleaning the house.,Daily Life
I was busy studying for my test.,Daily Life
I was busy thinking of ideas for our website.,Daily Life
I was busy entertaining our neighbors.,Daily Life
I was busy completing my housework.,Daily Life
I was busy learning new things.,Daily Life
I am busy working.,Daily Life
I am busy cooking dinner.,Daily Life
I am busy studying for my test.,Daily Life
I am busy completing housework.,Daily Life
I am busy talking on the phone.,Daily Life
I'm not used to talking English.,Daily Life
I'm not used to studying so much.,Daily Life
I'm not used to being around new people.,Daily Life
I'm not used to talking in front of groups of people.,Daily Life
I'm not used to having so much stress.,Daily Life
I'm not used to traveling so much.,Daily Life
I'm not used to working so early.,Daily Life
I'm not used to having so much responsibility.,Daily Life
I'm not used to drinking so much.,Daily Life
I want you to clean the dishes.,Daily Life
I want you to come home right after school.,Daily Life
I want you to call once you get there.,Daily Life
I want you to explain yourself to me.,Daily Life
I want you to educate me.,Daily Life
I need you to study harder in school.,Daily Life
I need you to stop and listen to me.,Daily Life
I need you to greet our guests.,Daily Life
I need you to introduce me to your family.,Daily Life
I need to request a refund.,Daily Life
I'm here to apply for the job.,Daily Life
I'm here to take a test.,Daily Life
I'm here to receive my gift.,Daily Life
I'm here to support all your decisions.,Daily Life
I'm here to watch a movie.,Daily Life
I'm here to work on your computer.,Daily Life
I'm here to welcome you to the neighborhood.,Daily Life
I'm here to raise awareness for cancer.,Daily Life
I'm here to start the job.,Daily Life
I'm here to receive the award.,Daily Life
I have something to complete.,Daily Life
I have something to share with you.,Daily Life
I have something important to tell you.,Daily Life
I have something to encourage you.,Daily Life
I have something to explain to you.,Daily Life
I have something special planned for your birthday.,Daily Life
I have something else to consider.,Daily Life
I have something to apologize about.,Daily Life
I have something to attend tonight.,Daily Life
I have something to ask you.,Daily Life
I have something fun for us to do.,Daily Life
I'm looking forward to meeting you.,Daily Life
I'm looking forward to talking with you.,Daily Life
I'm looking forward to going on vacation.,Daily Life
I'm looking forward to spending time with my family.,Daily Life
I'm looking forward to learning the English language.,Daily Life
I am looking forward to visiting another country.,Daily Life
I am looking forward to having a family.,Daily Life
I am looking forward to graduating from college.,Daily Life
I am looking forward to watching the baseball game.,Daily Life
I am looking forward to running in a race.,Daily Life
I'm calling to tell you about my day.,Daily Life
I'm calling to accept your invitation.,Daily Life
I'm calling to answer your question.,Daily Life
I'm calling to book a reservation at your restaurant.,Daily Life
I'm calling to complain about something.,Daily Life
I'm calling to thank you.,Daily Life
I'm calling to support your decision.,Daily Life
I'm calling to remind you of our dinner plans.,Daily Life
I'm calling to report a lost wallet.,Daily Life
I'm calling to receive my prize.,Daily Life
I'm working on a big project.,Daily Life
I'm working on training my dog.,Daily Life
I'm working on making new friends.,Daily Life
I'm working on educating myself.,Daily Life
I'm working on my homework.,Daily Life
I am working on painting a house.,Daily Life
I am working on a new idea.,Daily Life
I am working on my computer.,Daily Life
I'm working on my website.,Daily Life
I'm sorry to be so late.,Daily Life
I'm sorry to hear about your sick mother.,Daily Life
I'm sorry to waste your time.,Daily Life
I'm sorry to make you feel so sad.,Daily Life
I'm sorry to frighten you.,Daily Life
I'm sorry to disagree with your decision.,Daily Life
I'm sorry to call so late.,Daily Life
I'm sorry to admit what I did.,Daily Life
I'm sorry to end this relationship.,Daily Life
I'm thinking of checking out the new movie.,Daily Life
I'm thinking of filming my vacation.,Daily Life
I'm thinking of following a healthy diet.,Daily Life
I'm thinking of handing out flyers describing our business.,Daily Life
I'm thinking of increasing my work load.,Daily Life
I am thinking of introducing myself to him.,Daily Life
I am thinking of launching a new website.,Daily Life
I am thinking of moving to a new city.,Daily Life
I am thinking of offering her the position.,Daily Life
I am thinking of opening up a store.,Daily Life
I'll help you cook dinner tonight.,Daily Life
I'll help you raise money for your charity.,Daily Life
I'll help you register for your class online.,Daily Life
I'll help you move to your new house.,Daily Life
I'll help you prevent that from happening again.,Daily Life
I will help you park your car.,Daily Life
I will help you provide all the information you need.,Daily Life
I will help you realize your potential.,Daily Life
I will help you stop smoking.,Daily Life
I will help you shop for groceries.,Daily Life
I'm dying to relax on the beach.,Daily Life
I'm dying to pick some fresh fruit.,Daily Life
I'm dying to order some desserts.,Daily Life
I'm dying to find out if I got the job.,Daily Life
I'm dying to move to a bigger house.,Daily Life
I'm dying to look at all the work you've done.,Daily Life
I'm dying to learn more about you.,Daily Life
I'm dying to introduce you to my parents.,Daily Life
I'm dying to expand my business.,Daily Life
I'm dying to check my score on the test.,Daily Life
It's my turn to walk you home.,Daily Life
It's my turn to do laundry.,Daily Life
It's my turn to work late.,Daily Life
It's my turn to take out the trash.,Daily Life
It's my turn to choose where we eat.,Daily Life
It is my turn to pay for dinner.,Daily Life
It is my turn to roll the dice.,Daily Life
It is my turn to provide an answer.,Daily Life
It is my turn to try and play the game.,Daily Life
It is my turn to attempt solving the problem.,Daily Life
It's hard for me to accept what you are telling me.,Daily Life
It's hard for me to argue your point.,Daily Life
It's hard for me to balance my check book.,Daily Life
It's hard for me to concentrate on the task.,Daily Life
It's hard for me to consider your other options.,Daily Life
It's hard for me to depend on you.,Daily Life
It is hard for me to decide where to go tonight.,Daily Life
It is hard for me to explain my actions.,Daily Life
It is hard for me to guarantee your success.,Daily Life
It is hard for me to handle so much pressure.,Daily Life
I'm having a hard time writing.,Daily Life
I'm having a hard time understanding you.,Daily Life
I'm having a hard time answering your question.,Daily Life
I'm having a hard time downloading songs to my iPod.,Daily Life
I'm having a hard time agreeing to the terms.,Daily Life
I'm having an extremely hard time trusting you.,Daily Life
I'm having an extremely hard time with my wife.,Daily Life
I'm having a very hard time finding a job.,Daily Life
I'm having a very hard time finding parts for my car.,Daily Life
I think I should practice my reading.,Daily Life
I think I should join a study group.,Daily Life
I think I should handle this as soon as possible.,Daily Life
I think I should earn my degree.,Daily Life
I think I should explain myself.,Daily Life
I do not think I should complain so much.,Daily Life
I do not think I should attend that event.,Daily Life
I do not think I should borrow more money.,Daily Life
I do not think I should doubt you.,Daily Life
I do not think I should decide until later.,Daily Life
I've heard that you got a new job.,Daily Life
I've heard that you want to leave your job.,Daily Life
I've heard that you got a new car.,Daily Life
I've heard that you like to jog.,Daily Life
I've heard that you fix computers.,Daily Life
I've heard that you've never been to Canada.,Daily Life
I've heard that you like to shop.,Daily Life
I've heard that you and your boss don't get along.,Daily Life
I've heard that there is no school next week.,Daily Life
I've heard that your wife is a yoga instructor.,Daily Life
It occurred to me that I forgot your birthday.,Daily Life
It occurred to me that we both belong to the same gym.,Daily Life
It occurred to me that we enjoy a lot of the same things.,Daily Life
It occurred to me the price for homes are more expensive here.,Daily Life
It occurred to me that eating healthy makes me feel better.,Daily Life
It had occurred to me that I forgot something at the grocery.,Daily Life
It had occurred to me I might need to change my email address.,Daily Life
It has occurred to me I forgot my mom's birthday.,Daily Life
It has occurred to me before.,Daily Life
Let me make my own decisions.,Daily Life
Let me offer to help you.,Daily Life
Let me open the door for you.,Daily Life
Let me pause and think about what we are doing.,Daily Life
Let me welcome you to the neighborhood.,Daily Life
Let me save you the trouble.,Daily Life
Let me make a suggestion.,Daily Life
Let me try and fix your car.,Daily Life
Let me taste the soup before you add more spices.,Daily Life
Let me treat you to some ice cream.,Daily Life
Thank you for inviting me.,Daily Life
Thank you for helping me move.,Daily Life
Thank you for informing me about the job opening.,Daily Life
Thank you for mailing that package for me.,Daily Life
Thank you for working so hard.,Daily Life
Thank you for stopping by to visit.,Daily Life
Thank you for replying to my email.,Daily Life
Thank you for providing me with the answers.,Daily Life
Thank you for heating up dinner.,Daily Life
Thank you for hurrying to get here.,Daily Life
I am not sure if they will offer me the job.,Daily Life
I'm not sure if she'll return my call.,Daily Life
I'm not sure if my wife will understand.,Daily Life
I'm not sure if we will go out tonight.,Daily Life
I'm not sure if I understand your question.,Daily Life
I am not sure if I can handle it.,Daily Life
I am not sure if it will happen.,Daily Life
I am not sure if it will matter.,Daily Life
I am not sure if my mom will notice.,Daily Life
I am not sure if they will permit us to park there.,Daily Life
I don't know what to eat for dinner.,Daily Life
I don't know what to buy you for your birthday.,Daily Life
I don't know what to say.,Daily Life
I don't know what to do with my spare time.,Daily Life
I don't know what to do for vacation.,Daily Life
I do not know what to do to make you happy.,Daily Life
I do not know what to do to help you understand.,Daily Life
I do not know what to think.,Daily Life
I do not know what to do to prevent this.,Daily Life
I do not know what to order.,Daily Life
I should have gone with you.,Daily Life
I should have studied more for my test.,Daily Life
I should have read the directions before starting.,Daily Life
I should have eaten breakfast this morning.,Daily Life
I should have listened to your advice.,Daily Life
I should have married her when I had the chance.,Daily Life
I shall leave tomorrow.,Daily Life
I shall finish the job next week.,Daily Life
I shall see it tomorrow.,Daily Life
I shall go outside if it's nice out.,Daily Life
I shall pay for this later.,Daily Life
I wish I could sing better.,Daily Life
I wish I could settle the argument.,Daily Life
I wish I could sail around the world.,Daily Life
I wish I could remain calm during all of this.,Daily Life
I wish I could remember his name.,Daily Life
I wish I could replace my old car with a new one.,Daily Life
I wish I could play outside.,Daily Life
I wish I could go to the game with you.,Daily Life
I wish I could write better.,Daily Life
I wish I could own my own business.,Daily Life
You should go to bed.,Daily Life
You should do your homework before going outside.,Daily Life
You should replace your headlights on your car.,Daily Life
You should request a raise at work.,Daily Life
You should stop smoking.,Daily Life
You should smile more.,Daily Life
You should slow down when driving in a neighborhood.,Daily Life
You should talk to him about it.,Daily Life
You should train your dog.,Daily Life
You should trust what they say.,Daily Life
You're supposed to keep that secret.,Daily Life
You're supposed to let me know when you leave.,Daily Life
You're supposed to stop when at a red light.,Daily Life
You're supposed to unpack once you get there.,Daily Life
You're supposed to return the movies you rent on time.,Daily Life
You are supposed to remain calm.,Daily Life
You are supposed to fasten your seat belt.,Daily Life
You are supposed to invite all your friends.,Daily Life
You are supposed to encourage one another.,Daily Life
You are supposed to decide before next Thursday.,Daily Life
You seem bored.,Daily Life
You seem unhappy with the results.,Daily Life
You seem eager to begin.,Daily Life
You seem easy to get along with.,Daily Life
You seem elated to hear the good news.,Daily Life
You seem deeply in love.,Daily Life
You seem afraid of roller coasters.,Daily Life
You seem confused about the rules of the game.,Daily Life
You seem embarrassed about what happened.,Daily Life
You seem decisive about your choice.,Daily Life
You'd better exercise.,Daily Life
You'd better help out.,Daily Life
You'd better invite your brother.,Daily Life
You'd better impress the judges.,Daily Life
You'd better listen to your parents.,Daily Life
You had better not come home late.,Daily Life
You had better hope for the best.,Daily Life
You had better change your attitude.,Daily Life
You would be good at teaching.,Daily Life
You would do well at math.,Daily Life
Please pass me the salt.,Daily Life
Please order me the steak and potatoes.,Daily Life
Please stop bothering me.,Daily Life
Please wash your hands before dinner.,Daily Life
Please wait outside until we are ready.,Daily Life
Please zip up your coat before you go outside.,Daily Life
Please stand back.,Daily Life
The smell of the flowers was very pleasing.,Daily Life
I was very pleased with how the children behaved in class.,Daily Life
You cannot please everyone all the time.,Daily Life
She was pleased with the dress.,Daily Life
Don't try and fool me.,Daily Life
Don't allow this to happen.,Daily Life
Don't watch scary movies before you go to bed.,Daily Life
Don't cause any more trouble.,Daily Life
Don't chew gum in class.,Daily Life
Do not concern yourself with other people's problems.,Daily Life
Do not behave that way.,Daily Life
Do not announce your decision until you're ready.,Daily Life
Do not argue with me.,Daily Life
Do not arrive late for your meeting.,Daily Life
I want you to come over.,Daily Life
I want you to make a decision.,Daily Life
I want you to water the flowers.,Daily Life
I want to understand what you are trying to say.,Daily Life
I want to be better at swimming.,Daily Life
I want to be more involved at church.,Daily Life
It's too bad that she lost her job.,Daily Life
It's too bad that you have to go.,Daily Life
It's too bad that I found out about it.,Daily Life
It's too bad we will not be there on time.,Daily Life
It's too bad that tickets are all gone to that concert.,Daily Life
It's too bad that it is supposed to rain.,Daily Life
It's too bad that she got hurt.,Daily Life
It's too bad that my work has to lay off people.,Daily Life
It's too bad that you do not understand.,Daily Life
You could have completed it sooner.,Daily Life
You could have blown your chance.,Daily Life
You could have done better on your exam.,Daily Life
You could have given me more time to get ready.,Daily Life
You could have heard that from someone else.,Daily Life
You could have sent that package first class.,Daily Life
You could have slept in a little longer.,Daily Life
You could have written him a letter.,Daily Life
You could have thought of something to do.,Daily Life
You could have upset her by saying that.,Daily Life
"If I were you, I would enjoy my vacation.",Daily Life
"If I were you, I would explain what happened.",Daily Life
"If I were you, I would continue working until it is done.",Daily Life
"If I were you, I would book my reservations now.",Daily Life
"If I were you, I would answer the question.",Daily Life
"If I were you, I would have enjoyed my vacation.",Daily Life
"If I were you, I would have explained what happened.",Daily Life
"If I were you, I would have continued working until it was done.",Daily Life
"If I were you, I would have booked my reservations now.",Daily Life
"If I were you, I would have answered the question.",Daily Life
It's going to be delicious.,Daily Life
It's gonna be easy.,Daily Life
It's gonna be depressing.,Daily Life
It's going to be exciting.,Daily Life
It's going to be disgusting.,Daily Life
He is going to be tough to deal with.,Daily Life
He is going to be terrific at that.,Daily Life
She is going to be relieved to hear that.,Daily Life
She is going to be scared after watching that movie.,Daily Life
Sally is going to be successful.,Daily Life
Mike is going to be grumpy after I tell him.,Daily Life
It looks like a balloon.,Daily Life
It looks like a jellyfish.,Daily Life
It looks like a banana.,Daily Life
It looks like a fish.,Daily Life
It looks like it's going to rain.,Daily Life
It looks like it's going to be fun.,Daily Life
It looks like it's going to be a long day.,Daily Life
It looks like they are leaving.,Daily Life
It looks like he is waving to us.,Daily Life
It looks like she is lost.,Daily Life
It looks like they are racing.,Daily Life
That's why people admire you.,Daily Life
That's why she appears so happy.,Daily Life
That's why babies crawl before they can walk.,Daily Life
That's why Pam cries at sad movies.,Daily Life
That's why you fail to understand.,Daily Life
That is why you help out people in need.,Daily Life
That is why you try and include everyone.,Daily Life
That is why you lock your doors when you leave home.,Daily Life
That is why she smiles when you walk by.,Daily Life
That is why you use it for emergencies.,Daily Life
It's time to say goodbye.,Daily Life
It's time to ask for a raise.,Daily Life
It's time to collect our money.,Daily Life
It's time to cheer for our team.,Daily Life
It's time to change the clocks.,Daily Life
It is time to decide what to do.,Daily Life
It is time to enjoy ourselves.,Daily Life
It is time to fill me in on what's going on.,Daily Life
It is time to help out.,Daily Life
It is time to join a gym.,Daily Life
The point is that if you study you will do well in school.,Daily Life
The point is that she does not understand.,Daily Life
The point is that we need this done today.,Daily Life
The point is that the world would be a better place.,Daily Life
The point is that we should help.,Daily Life
The point is that snakes can be dangerous.,Daily Life
The point is that leaving a baby alone is not a good idea.,Daily Life
The point is that if we do not leave now we will be late.,Daily Life
The point is that she needs to be more responsible.,Daily Life
The point is that we need to work together.,Daily Life
There is something wrong with my laptop.,Daily Life
There is something wrong with my car.,Daily Life
There is something wrong with my cell phone.,Daily Life
There is something wrong with my head.,Daily Life
There is something wrong with your answering machine.,Daily Life
There is something wrong with your way of thinking.,Daily Life
There is something wrong with your attitude.,Daily Life
There is something wrong with your dog.,Daily Life
There is something wrong with our relationship.,Daily Life
There is something wrong with our alarm clock.,Daily Life
Let's not discuss this now.,Daily Life
Let's not stay here too long.,Daily Life
Let's not stop anywhere on the way.,Daily Life
Let's not remain mad at each other.,Daily Life
Let's not meddle in other people's business.,Daily Life
Let us not get too excited.,Daily Life
Let us not worry too much.,Daily Life
Let us not interrupt them when they are talking.,Daily Life
Let us help you.,Daily Life
Let us get that for you.,Daily Life
Let's say that you love to fish.,Daily Life
Let's say we found it.,Daily Life
Let's say that we enjoy being with them.,Daily Life
Let's say that we had a good time.,Daily Life
Let's say that it's hard to decide.,Daily Life
Let's say that we have to go.,Daily Life
Let's say that we can host.,Daily Life
Let's say that I have to work.,Daily Life
Let's say that the movie was really good.,Daily Life
There's no need to worry.,Daily Life
There's no need to be upset.,Daily Life
There's no need to act so strange.,Daily Life
There's no need to act so shy.,Daily Life
There's no need to rush off.,Daily Life
There's no need to talk now.,Daily Life
There is no need to call this late.,Daily Life
There is no need to bother him.,Daily Life
There is no need to run away.,Daily Life
There is no need to stop now.,Daily Life
It takes one hour to get there.,Daily Life
It takes forty-five minutes for me to get ready.,Daily Life
It takes four quarters to complete a football game.,Daily Life
It takes 7 seconds for my car to go 60 miles per hour.,Daily Life
It takes all day for us to finish golfing.,Daily Life
It takes years to learn to play guitar.,Daily Life
It takes 15 minutes to get to downtown.,Daily Life
It takes me one hour to cook.,Daily Life
Please make sure that she wakes up on time.,Daily Life
Please make sure that she gets to school.,Daily Life
Please make sure that dinner is ready when we get home.,Daily Life
Please make sure that your assignment is done.,Daily Life
Please make sure that the water is not too hot.,Daily Life
Please make sure you cook the meat long enough.,Daily Life
Please make sure that she is getting along with her new friends.,Daily Life
Please make sure that we leave on time.,Daily Life
Please make sure you record our favorite TV show.,Daily Life
Please make sure that you don't stay out too late.,Daily Life
It's no use crying.,Daily Life
It's no use separating them.,Daily Life
It's no use talking to her.,Daily Life
It's no use whining about it.,Daily Life
It's no use apologizing.,Daily Life
It's no use attempting to please him.,Daily Life
It's no use arguing about it.,Daily Life
It's no use behaving that way.,Daily Life
It's no use cleaning up.,Daily Life
It's no use checking on it yet.,Daily Life
There's no way you finish on time.,Daily Life
There's no way we complete on time.,Daily Life
There's no way your mother approves.,Daily Life
There's no way no one claims it.,Daily Life
There's no way they expect it.,Daily Life
There's no way he can fix it.,Daily Life
There's no way he can handle the news.,Daily Life
There's no way your brother injured his ankle.,Daily Life
There is no way that horse jumps it.,Daily Life
There is no way he missed it.,Daily Life
It's very kind of you to offer me the job.,Daily Life
It's very kind of you to listen to me.,Daily Life
It's very kind of you to join me.,Daily Life
It's very kind of you to invite us.,Daily Life
It's very kind of you to inform us what happened.,Daily Life
It is kind of you to help us.,Daily Life
It is kind of you to fill me in.,Daily Life
It is kind of you to entertain us.,Daily Life
It is kind of you to double my salary.,Daily Life
It is kind of you to decorate for the party.,Daily Life
There's nothing you can harm.,Daily Life
There's nothing the police can identify.,Daily Life
There's nothing we can agree on.,Daily Life
There's nothing we can join.,Daily Life
There's nothing she can cook.,Daily Life
There's nothing my dog can learn.,Daily Life
There is nothing I cannot ask for.,Daily Life
There's nothing we cannot accomplish.,Daily Life
There's nothing our dog cannot open.,Daily Life
There's nothing that truck cannot move.,Daily Life
Rumor has it that that player will get traded.,Daily Life
Rumor has it that she cheated on him.,Daily Life
Rumor has it that they are going to get married.,Daily Life
Rumor has it that you like to paint.,Daily Life
Rumor has it that show is going to end.,Daily Life
Rumor has it that he is going to get a raise.,Daily Life
Rumor has it that your sister got in trouble.,Daily Life
Rumor has it that she goes to our gym.,Daily Life
Rumor has it that he will not return.,Daily Life
Rumor has it that it happened while texting.,Daily Life
